ϻ�SG_UF;SG_UE;NM_UE;CD_CARGO;DS_CARGO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO;DS_SIT_TOT_TURNO
SP;65455;ITAPECERICA DA SERRA;11;PREFEITO;13;LEDA MARIA ASCHERMANN;LEDA MARIA;13;PT;PARTIDO DOS TRABALHADORES;7;FRENTE DEMOCRÁTICA POPULAR;PT / PC do B ;NÃO ELEITO
SP;66893;MAUA;11;PREFEITO;22;CINCINATO LOURENÇO FREIRE FILHO;CINCINATO;22;PL;PARTIDO LIBERAL;6;COLIGAÇÃO MAUÁ MELHOR;PDT / PL / PSC / PST ;NÃO ELEITO
SP;68837;PIRAPORA DO BOM JESUS;11;PREFEITO;25;RAUL SILVEIRA BUENO JUNIOR;RAUL;25;PFL;PARTIDO DA FRENTE LIBERAL;2;CERTEZA DE PROGRESSO;PFL / PAN / PDT / PV ;ELEITO
SP;67890;OSASCO;11;PREFEITO;13;EMIDIO PEREIRA DE SOUZA;EMIDIO;13;PT;PARTIDO DOS TRABALHADORES;2;NOVO RUMO PARA OSASCO;PT / PC do B ;NÃO ELEITO
SP;66010;JANDIRA;11;PREFEITO;25;ALCIDES PEDRO SIQUEIRA FILHO;ALCIDES;25;PFL;PARTIDO DA FRENTE LIBERAL;3;POR AMOR A JANDIRA;PFL / PSB ;NÃO ELEITO
SP;67130;MOGI DAS CRUZES;11;PREFEITO;15;FRANCISCO MOACIR BEZERRA DE MELO FILHO;CHICO BEZERRA;15;PMDB;PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO;11;AMOR POR MOGI;PDT / PMDB / PSD / PRP;2º TURNO
SP;64297;FRANCO DA ROCHA;11;PREFEITO;45;ADAUTO LEME DOS SANTOS;ADAUTO LEME DOS SANTOS;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;12;DIGNIDADE COM COMPETÊNCIA;PSDB / PV / PL / PSD ;NÃO ELEITO
SP;71072;SAO PAULO;11;PREFEITO;27;JOÃO MANUEL BAPTISTA;JOÃO MANUEL BAPTISTA;27;PSDC;PARTIDO SOCIAL DEMOCRATA CRISTÃO;-1;PARTIDO ISOLADO;PSDC;NÃO ELEITO
SP;71510;SUZANO;11;PREFEITO;23;JOSE RAIMUNDO ARAUJO DINIZ;JOSE RAIMUNDO ARAUJO DINIZ;23;PPS;PARTIDO POPULAR SOCIALISTA;2;COLIGAÇÃO MUDA SUZANO;PDT / PPS / PC do B ;NÃO ELEITO
SP;70750;SAO BERNARDO DO CAMPO;11;PREFEITO;30;PEDRO PAULO COPEINSKI;PEDRO COPEINSKI;30;PGT;PARTIDO GERAL DOS TRABALHADORES;-1;PARTIDO ISOLADO;PGT;NÃO ELEITO
SP;63770;DIADEMA;11;PREFEITO;40;GILSON LUIZ CORREIA DE MENEZES;GILSON MENEZES;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;4;UNIÃO POPULAR DIADEMA;PSB / PCB / PMN / PSDC;NÃO ELEITO
SP;66893;MAUA;11;PREFEITO;45;LEONEL DAMO;LEONEL DAMO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;1;COLIGAÇÃO MAUÁ FELIZ;PAN / PFL / PPS / PRP / PRTB / PSB / PSDB;NÃO ELEITO
SP;63614;COTIA;11;PREFEITO;45;JOAQUIM HORÁCIO PEDROSO NETO;QUINZINHO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;6;LEVANTA COTIA;PSB / PSD / PV / PSDB / PSDC ;ELEITO
SP;64670;GUARAREMA;11;PREFEITO;19;ANTONIO JAIR PAULINO PINTO;TONINHO DA INOX;19;PTN;PARTIDO TRABALHISTA NACIONAL;-1;PARTIDO ISOLADO;PTN;NÃO ELEITO
SP;66257;JUQUITIBA;11;PREFEITO;45;LUIZ ARMANDO LIPPEL BRAGA;DOUTOR ARMANDO;45;PSDB;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;-1;PARTIDO ISOLADO;PSDB;NÃO ELEITO
SP;70572;SANTO ANDRE;11;PREFEITO;11;CELSO UBIRAJARA RUSSOMANNO;CELSO RUSSOMANO;11;PPB;PARTIDO PROGRESSISTA BRASILEIRO;1;BOM PARA AMBAS AS PARTES;PPB / PTB / PTN / PRP / PAN / PFL / PL / PSL / PSD;NÃO ELEITO
SP;66893;MAUA;11;PREFEITO;14;AMAURY FIORAVANTI;PROF. AMAURY FIORAVANTI;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;-1;PARTIDO ISOLADO;PTB;NÃO ELEITO
SP;67890;OSASCO;11;PREFEITO;30;WANDERLEY ALVES;LELO;30;PGT;PARTIDO GERAL DOS TRABALHADORES;-1;PARTIDO ISOLADO;PGT;NÃO ELEITO
